Type,Luminosity,Mass,Radius,Age,Temperature
"Main Sequence, M<0.7 Msun",0.012496207879151355,0.28635880516236223,0.29108320977793206,4295.247721525761,3580.6635903467977
"Main Sequence, M<0.7 Msun",0.000621489840263723,0.08816191370881564,0.11146087418218312,45578.14959696651,2732.5921942954938
"Main Sequence, M<0.7 Msun",0.0010944268539513492,0.10430985626225452,0.1336044313839988,32560.145980216905,2875.1717404937244
"Main Sequence, M<0.7 Msun",0.0005357716034729291,0.08460850053780372,0.10624221098137049,49486.56482795932,2696.95630589801
"Main Sequence, M<0.7 Msun",0.004535112436440505,0.17594031245068592,0.20848556542252802,11445.730295364365,3283.8745376597435
"Main Sequence, M<0.7 Msun",0.018890431535645055,0.3572973518679357,0.3416206517759534,5417.332188085327,3664.932234323895
"Main Sequence, M<0.7 Msun",0.0018758444151521978,0.12482950622003344,0.15838692836323148,22736.821839820695,3021.461556672689
"Main Sequence, M<0.7 Msun",0.0014404683456175139,0.11401756517911907,0.14575693125941183,27252.491101988624,2948.416678207037
"Main Sequence, M>0.7 Msun",0.5314974411159229,0.8787587014719649,0.8407754305693317,4459.983623286489,5380.378467379798
"Main Sequence, M<0.7 Msun",0.003637225919986359,0.16047276317849155,0.19466963850271818,13759.06557261533,3216.0366967339355
"Main Sequence, M<0.7 Msun",0.03246157276656286,0.45933901949404277,0.4237957838932834,4564.45259236509,3767.3989377532616
"Main Sequence, M<0.7 Msun",0.005996024988663769,0.19899201278482026,0.2275628269286521,8945.502835546726,3370.4876172458553
"Main Sequence, M<0.7 Msun",0.007927278048824135,0.226901398380992,0.24892038110275824,6875.171320235365,3455.6387211748115
"Main Sequence, M<0.7 Msun",0.0012638815795857747,0.10921822614599336,0.1398508018761987,29699.772055220965,2913.2090681407044
"Main Sequence, M<0.7 Msun",0.030159896106465817,0.44590772886303687,0.4121302710941708,4912.490908760663,3750.7467395788253
"Main Sequence, M<0.7 Msun",0.017385442332795938,0.341786280393088,0.3304522074702185,5954.199169407482,3649.8048589693467
"Main Sequence, M<0.7 Msun",0.0008402617254694617,0.09620158909404647,0.1228016244694254,38279.19511276765,2807.237307843071
"Main Sequence, M<0.7 Msun",0.0008544442956492172,0.09668350088038348,0.12346116873712006,37898.59456401645,2811.4689030880954
"Main Sequence, M<0.7 Msun",0.0015751126801530056,0.11749948135296653,0.14992309648431573,25661.52882094161,2972.8375141776864
"Main Sequence, M<0.7 Msun",0.002882595323178329,0.14632089150640834,0.18111098684947885,16549.127912582335,3145.944513019273
"Main Sequence, M<0.7 Msun",0.022292086611467598,0.389086783547297,0.36531648438021364,4497.166845019897,3693.8612913415745
"Main Sequence, M<0.7 Msun",0.0009245302443189054,0.0990085571775957,0.1266117648535346,36139.745371894416,2831.527520172599
"Main Sequence, M>0.7 Msun",0.18785120622251866,0.7220477460980873,0.6857022150639472,4670.26772577301,4593.706652585177
"Main Sequence, M<0.7 Msun",0.006290234559804106,0.20340114230915948,0.2310455403796801,8561.234946858633,3385.286680545933
"Main Sequence, M<0.7 Msun",0.0046492924883275565,0.17782470708764428,0.21010726844659647,11204.326448906335,3291.574706025228
"Main Sequence, M<0.7 Msun",0.056096136722041494,0.5492028549844818,0.5106728001693597,4654.4103592613355,3934.9517582108547
"Main Sequence, M<0.7 Msun",0.06507085980373291,0.5720286292249204,0.5335275764471652,4103.157012293096,3995.2663545720425
"Main Sequence, M<0.7 Msun",0.0443468967230701,0.5124666379377367,0.47375775536768266,4554.962254249392,3852.256351845719
"Main Sequence, M<0.7 Msun",0.004872315434941067,0.18145966810333636,0.21320147607023593,10759.693274589705,3306.1022652305287
"Main Sequence, M<0.7 Msun",0.001368616575659125,0.1120992206255716,0.14341942139909433,28193.04458422673,2934.5668234956192
"Main Sequence, M<0.7 Msun",0.016489832506497278,0.3327606614808315,0.3233686902233323,3149.693641218301,3641.1000683558177
"Main Sequence, M<0.7 Msun",0.0013923124722375055,0.11273682918347507,0.14419973669091946,27875.09678510692,2939.20232303181
"Main Sequence, M<0.7 Msun",0.007465538813964312,0.2204292855277951,0.24409978228149273,7286.502504746536,3437.630001248432
"Main Sequence, M<0.7 Msun",0.044975196683428934,0.5147668462394359,0.47596442942353273,4498.045502501515,3856.857174635558
C-O White Dwarf,37.65112349413561,0.5736099016763884,0.013140974774416071,4126.54617455772,124855.6591236336
"Main Sequence, M<0.7 Msun",0.0015931929622725915,0.11795671251439027,0.150463014926421,25463.0089879704,2975.9782471977123
"Main Sequence, M<0.7 Msun",0.025227238074363424,0.4129438849110995,0.3839887997507851,3929.7220358462346,3716.085395048493
"Main Sequence, M<0.7 Msun",0.0069365448586475534,0.21287159814033205,0.23837771277770253,7814.787667574764,3415.313014741851
"Main Sequence, M<0.7 Msun",0.0009681783634531416,0.10041278501393353,0.1284895875076859,35136.15264136862,2843.3636910088962
"Main Sequence, M<0.7 Msun",0.003143395233026946,0.1513581086443827,0.18604966384677077,15466.046963940233,3171.851455722384
"Main Sequence, M<0.7 Msun",0.015282881323747229,0.31929647063291644,0.3139263059384523,3433.3014177292425,3625.8930747327045
"Main Sequence, M<0.7 Msun",0.005288204080610294,0.18809002088527135,0.2187366819110161,10013.930188733013,3331.5303906261806
"Main Sequence, M<0.7 Msun",0.0005064029582093866,0.0833206925488217,0.10431948460948184,51027.98172013391,2683.606775044777
"Main Sequence, M<0.7 Msun",0.0014492229496153705,0.11424830019121412,0.14603603798588854,27142.54377580972,2950.0631809625543
"Main Sequence, M<0.7 Msun",0.014528974427680273,0.31063229742707826,0.3078953996531518,3634.652785111503,3615.219553896558
"Main Sequence, M<0.7 Msun",0.0049183257004490645,0.18220237886556886,0.21382835016665794,10672.096475107635,3309.0186602639883
"Main Sequence, M<0.7 Msun",0.05307491175738575,0.5405463600385786,0.5020850731600257,4881.515968490033,3913.913314361927
C-O White Dwarf,38.50735646649563,0.5866544981056029,0.012960288589978435,3260.2263593779594,126431.7437375872
"Main Sequence, M<0.7 Msun",0.019055911494372912,0.3589494296427504,0.34282360607310525,5363.936552370778,3666.4824441975234
"Main Sequence, M<0.7 Msun",0.005967834136493748,0.1985660148765154,0.22722382899109447,8983.98668832766,3369.029289281087
"Main Sequence, M<0.7 Msun",0.012326938748837748,0.2842795673597495,0.2896430853925792,4359.572882180555,3577.3362589916337
"Main Sequence, M>0.7 Msun",0.5596339344352217,0.8867928691388064,0.8504147950546694,4461.535855200735,5419.236995696254
